date,FOMCmeeting,unscheduled,twodays,IsConfCall,weirdOct87ConfCall,minutes,statement,pressconference
2/2/1982,1,0,1,0,0,,.,0
3/30/1982,1,0,1,0,0,,.,0
5/18/1982,1,0,0,0,0,,.,0
5/20/1982,1,0,0,1,0,,.,0
7/1/1982,1,0,1,0,0,,.,0
7/15/1982,1,0,0,1,0,,.,0
8/24/1982,1,0,0,0,0,,.,0
9/24/1982,1,0,0,1,0,,.,0
10/5/1982,1,0,0,0,0,,.,0
11/16/1982,1,0,0,0,0,,.,0
12/21/1982,1,0,1,0,0,,.,0
1/14/1983,1,0,0,1,0,,.,0
1/21/1983,1,0,0,1,0,,.,0
1/28/1983,1,0,0,1,0,,.,0
2/9/1983,1,0,1,0,0,,.,0
3/29/1983,1,0,1,0,0,,.,0
4/29/1983,1,0,0,1,0,,.,0
5/24/1983,1,0,0,0,0,,.,0
6/23/1983,1,0,0,1,0,,.,0
7/13/1983,1,0,1,0,0,,.,0
8/23/1983,1,0,0,0,0,,.,0
9/8/1983,1,0,0,1,0,,.,0
10/4/1983,1,0,0,0,0,,.,0
11/15/1983,1,0,1,0,0,,.,0
12/20/1983,1,0,1,0,0,,.,0
1/31/1984,1,0,1,0,0,,.,0
3/20/1984,1,0,0,1,0,,.,0
3/27/1984,1,0,1,0,0,,.,0
5/22/1984,1,0,1,0,0,,.,0
7/17/1984,1,0,1,0,0,,.,0
8/21/1984,1,0,0,0,0,,.,0
10/2/1984,1,0,0,0,0,,.,0
11/7/1984,1,0,0,0,0,,.,0
12/18/1984,1,0,1,0,0,,.,0
1/18/1985,1,0,0,1,0,,.,0
2/13/1985,1,0,1,0,0,,.,0
3/26/1985,1,0,0,0,0,,.,0
5/21/1985,1,0,0,0,0,,.,0
7/10/1985,1,0,1,0,0,,.,0
8/20/1985,1,0,0,0,0,,.,0
9/23/1985,1,0,0,1,0,,.,0
10/1/1985,1,0,0,0,0,,.,0
11/5/1985,1,0,1,0,0,,.,0
12/17/1985,1,0,1,0,0,,.,0
2/12/1986,1,0,1,0,0,,.,0
4/1/1986,1,0,0,0,0,,.,0
4/21/1986,1,0,0,1,0,,.,0
5/20/1986,1,0,0,0,0,,.,0
7/9/1986,1,0,1,0,0,,.,0
8/19/1986,1,0,0,0,0,,.,0
9/23/1986,1,0,0,0,0,,.,0
11/5/1986,1,0,0,0,0,,.,0
12/16/1986,1,0,1,0,0,,.,0
2/11/1987,1,0,1,0,0,,.,0
2/23/1987,1,0,0,1,0,,.,0
3/31/1987,1,0,0,0,0,,.,0
4/29/1987,1,0,0,1,0,,.,0
5/19/1987,1,0,0,0,0,,.,0
7/7/1987,1,0,0,0,0,,.,0
8/18/1987,1,0,0,0,0,,.,0
9/22/1987,1,0,0,0,0,,.,0
10/19/1987,1,0,0,1,0,,.,0
10/20/1987,1,0,0,1,1,,.,0
10/21/1987,1,0,1,1,1,,.,0
10/22/1987,1,0,1,1,1,,.,0
10/23/1987,1,0,1,1,1,,.,0
10/26/1987,1,0,1,1,1,,.,0
10/27/1987,1,0,1,1,1,,.,0
10/28/1987,1,0,1,1,1,,.,0
10/29/1987,1,0,1,1,1,,.,0
10/30/1987,1,0,1,1,1,,.,0
11/3/1987,1,0,0,0,0,,.,0
12/16/1987,1,0,1,0,0,,.,0
1/5/1988,1,0,0,1,0,,.,0
2/10/1988,1,0,1,0,0,,.,0
3/29/1988,1,0,0,0,0,,.,0
5/17/1988,1,0,0,0,0,,.,0
6/30/1988,1,0,1,0,0,,.,0
7/19/1988,1,0,0,1,0,,.,0
8/16/1988,1,0,0,0,0,,.,0
9/20/1988,1,0,0,0,0,,.,0
10/17/1988,1,0,0,1,0,,.,0
11/1/1988,1,0,0,0,0,,.,0
11/22/1988,1,0,0,1,0,,.,0
12/14/1988,1,0,1,0,0,,.,0
2/8/1989,1,0,1,0,0,,.,0
3/28/1989,1,0,0,0,0,,.,0
5/16/1989,1,0,0,0,0,,.,0
5/31/1989,1,0,0,1,0,,.,0
6/5/1989,1,0,0,1,0,,.,0
7/6/1989,1,0,1,0,0,,.,0
7/26/1989,1,0,0,1,0,,.,0
8/22/1989,1,0,0,0,0,,.,0
10/3/1989,1,0,0,0,0,,.,0
10/16/1989,1,0,0,1,0,,.,0
10/17/1989,1,0,0,1,0,,.,0
10/18/1989,1,0,0,1,0,,.,0
11/14/1989,1,0,0,0,0,,.,0
12/19/1989,1,0,1,0,0,,.,0
2/7/1990,1,0,1,0,0,1,0,0
3/27/1990,1,0,0,0,0,1,0,0
4/11/1990,1,0,0,1,0,0,0,0
5/15/1990,1,0,0,0,0,1,0,0
7/3/1990,1,0,1,0,0,1,0,0
8/21/1990,1,0,0,0,0,1,0,0
9/7/1990,1,0,0,1,0,0,0,0
9/17/1990,1,0,0,1,0,0,0,0
10/2/1990,1,0,0,0,0,1,0,0
11/13/1990,1,0,0,0,0,1,0,0
12/7/1990,1,0,0,1,0,0,0,0
12/18/1990,1,0,0,0,0,1,0,0
1/9/1991,1,0,0,1,0,0,0,0
2/1/1991,1,0,0,1,0,0,0,0
2/6/1991,1,0,1,0,0,1,0,0
3/26/1991,1,0,0,0,0,1,0,0
4/12/1991,1,0,0,1,0,0,0,0
4/30/1991,1,0,0,1,0,0,0,0
5/1/1991,1,0,0,1,0,0,0,0
5/14/1991,1,0,0,0,0,1,0,0
6/10/1991,1,0,0,1,0,0,0,0
6/24/1991,1,0,0,1,0,0,0,0
7/3/1991,1,0,1,0,0,1,0,0
8/5/1991,1,0,0,1,0,0,0,0
8/20/1991,1,0,0,0,0,1,0,0
9/13/1991,1,0,0,1,0,0,0,0
10/1/1991,1,0,0,0,0,1,0,0
10/30/1991,1,0,0,1,0,0,0,0
11/5/1991,1,0,0,0,0,1,0,0
12/2/1991,1,0,0,1,0,0,0,0
12/17/1991,1,0,0,0,0,1,0,0
1/9/1992,1,0,0,1,0,0,0,0
2/5/1992,1,0,1,0,0,1,0,0
3/11/1992,1,0,0,1,0,0,0,0
3/31/1992,1,0,0,0,0,1,0,0
5/19/1992,1,0,0,0,0,1,0,0
7/1/1992,1,0,1,0,0,1,0,0
7/2/1992,1,0,0,1,0,0,0,0
8/18/1992,1,0,0,0,0,1,0,0
10/6/1992,1,0,0,0,0,1,0,0
11/17/1992,1,0,0,0,0,1,0,0
12/14/1992,1,0,0,1,0,0,0,0
12/22/1992,1,0,0,0,0,1,0,0
1/6/1993,1,0,0,1,0,0,0,0
2/3/1993,1,0,1,0,0,1,0,0
2/18/1993,1,0,0,1,0,0,0,0
3/1/1993,1,0,0,1,0,0,0,0
3/23/1993,1,0,0,0,0,1,0,0
5/18/1993,1,0,0,0,0,1,0,0
7/7/1993,1,0,1,0,0,1,0,0
8/17/1993,1,0,0,0,0,1,0,0
9/21/1993,1,0,0,0,0,1,0,0
10/5/1993,1,0,0,1,0,0,0,0
10/15/1993,1,0,0,1,0,0,0,0
10/22/1993,1,0,0,1,0,0,0,0
11/9/1993,1,0,0,1,0,0,0,0
11/10/1993,1,0,0,1,0,0,0,0
11/16/1993,1,0,0,0,0,1,0,0
12/21/1993,1,0,0,0,0,1,0,0
2/4/1994,1,0,1,0,0,1,1,0
2/28/1994,1,0,0,1,0,0,0,0
3/22/1994,1,0,0,0,0,1,1,0
3/24/1994,1,0,0,1,0,0,0,0
4/18/1994,1,0,0,1,0,1,1,0
5/17/1994,1,0,0,0,0,1,1,0
7/6/1994,1,0,1,0,0,1,0,0
7/20/1994,1,0,0,1,0,0,0,0
8/16/1994,1,0,0,0,0,1,1,0
9/27/1994,1,0,0,0,0,1,0,0
11/15/1994,1,0,0,0,0,1,1,0
12/20/1994,1,0,0,0,0,1,0,0
12/30/1994,1,0,0,1,0,1,0,0
1/13/1995,1,0,0,1,0,0,0,0
2/1/1995,1,0,1,0,0,1,1,0
3/10/1995,1,0,0,1,0,0,0,0
3/28/1995,1,0,0,0,0,1,0,0
4/28/1995,1,0,0,1,0,0,0,0
5/23/1995,1,0,0,0,0,1,0,0
7/6/1995,1,0,1,0,0,1,1,0
8/22/1995,1,0,0,0,0,1,0,0
9/26/1995,1,0,0,0,0,1,0,0
11/15/1995,1,0,0,0,0,1,0,0
12/19/1995,1,0,0,0,0,1,1,0
1/31/1996,1,0,1,0,0,1,1,0
3/26/1996,1,0,0,0,0,1,0,0
5/21/1996,1,0,0,0,0,1,0,0
7/3/1996,1,0,1,0,0,1,0,0
8/20/1996,1,0,0,0,0,1,0,0
9/24/1996,1,0,0,0,0,1,0,0
11/13/1996,1,0,0,0,0,1,0,0
12/17/1996,1,0,0,0,0,1,0,0
2/5/1997,1,0,1,0,0,1,0,0
3/25/1997,1,0,0,0,0,1,1,0
5/20/1997,1,0,0,0,0,1,0,0
7/2/1997,1,0,1,0,0,1,0,0
8/19/1997,1,0,0,0,0,1,0,0
9/30/1997,1,0,0,0,0,1,0,0
11/12/1997,1,0,0,0,0,1,0,0
12/16/1997,1,0,0,0,0,1,0,0
2/4/1998,1,0,1,0,0,1,0,0
3/31/1998,1,0,0,0,0,1,0,0
5/19/1998,1,0,0,0,0,1,0,0
7/1/1998,1,0,1,0,0,1,0,0
8/18/1998,1,0,0,0,0,1,0,0
9/21/1998,1,0,0,1,0,0,0,0
9/29/1998,1,0,0,0,0,1,1,0
10/15/1998,1,0,0,1,0,0,1,0
11/17/1998,1,0,0,0,0,1,1,0
12/22/1998,1,0,0,0,0,1,0,0
2/3/1999,1,0,1,0,0,1,0,0
3/30/1999,1,0,0,0,0,1,0,0
5/18/1999,1,0,0,0,0,1,1,0
6/30/1999,1,0,1,0,0,,1,0
8/24/1999,1,0,0,0,0,,1,0
10/5/1999,1,0,0,0,0,,1,0
11/16/1999,1,0,0,0,0,,1,0
12/21/1999,1,0,0,0,0,,1,0
2/2/2000,1,0,1,0,0,,1,0
3/21/2000,1,0,0,0,0,,1,0
5/16/2000,1,0,0,0,0,,1,0
6/28/2000,1,0,1,0,0,,1,0
8/22/2000,1,0,0,0,0,,1,0
10/3/2000,1,0,0,0,0,,1,0
11/15/2000,1,0,0,0,0,,1,0
12/19/2000,1,0,0,0,0,,1,0
1/3/2001,1,0,0,1,0,,1,0
1/31/2001,1,0,1,0,0,,1,0
3/20/2001,1,0,0,0,0,,1,0
4/11/2001,1,0,0,1,0,,0,0
4/18/2001,1,0,0,1,0,,1,0
5/15/2001,1,0,0,0,0,,1,0
6/27/2001,1,0,1,0,0,,1,0
8/21/2001,1,0,0,0,0,,1,0
9/13/2001,1,0,0,1,0,,0,0
9/17/2001,1,0,0,1,0,,1,0
10/2/2001,1,0,0,0,0,,1,0
11/6/2001,1,0,0,0,0,,1,0
12/11/2001,1,0,0,0,0,,1,0
1/30/2002,1,0,1,0,0,,1,0
3/19/2002,1,0,0,0,0,,1,0
5/7/2002,1,0,0,0,0,,1,0
6/26/2002,1,0,1,0,0,,1,0
8/13/2002,1,0,0,0,0,,1,0
9/24/2002,1,0,0,0,0,,1,0
11/6/2002,1,0,0,0,0,,1,0
12/10/2002,1,0,0,0,0,,1,0
1/29/2003,1,0,1,0,0,,1,0
3/18/2003,1,0,0,0,0,,1,0
3/25/2003,1,0,0,1,0,,0,0
4/1/2003,1,0,0,1,0,,0,0
4/8/2003,1,0,0,1,0,,0,0
4/16/2003,1,0,0,1,0,,0,0
5/6/2003,1,0,0,0,0,,1,0
6/25/2003,1,0,1,0,0,,1,0
8/12/2003,1,0,0,0,0,,1,0
9/16/2003,1,0,1,0,0,,1,0
10/28/2003,1,0,0,0,0,,1,0
12/9/2003,1,0,0,0,0,,1,0
8/10/2004,1,0,0,0,0,,1,0
12/14/2004,1,0,0,0,0,,1,0
1/28/2004,1,0,1,0,0,,1,0
6/30/2004,1,0,1,0,0,,1,0
3/16/2004,1,0,0,0,0,,1,0
5/4/2004,1,0,0,0,0,,1,0
11/10/2004,1,0,0,0,0,,1,0
9/21/2004,1,0,0,0,0,,1,0
2/2/2005,1,0,1,0,0,,1,0
3/22/2005,1,0,0,0,0,,1,0
5/3/2005,1,0,0,0,0,,1,0
6/30/2005,1,0,1,0,0,,1,0
8/9/2005,1,0,0,0,0,,1,0
9/20/2005,1,0,0,0,0,,1,0
11/1/2005,1,0,0,0,0,,1,0
12/13/2005,1,0,0,0,0,,1,0
1/31/2006,1,0,0,0,0,,1,0
3/28/2006,1,0,1,0,0,,1,0
5/10/2006,1,0,0,0,0,,1,0
6/29/2006,1,0,1,0,0,,1,0
8/8/2006,1,0,0,0,0,,1,0
9/20/2006,1,0,0,0,0,,1,0
10/25/2006,1,0,1,0,0,,1,0
12/12/2006,1,0,0,0,0,,1,0
1/31/2007,1,0,1,0,0,,1,0
3/21/2007,1,0,1,0,0,,1,0
5/9/2007,1,0,0,0,0,,1,0
6/28/2007,1,0,1,0,0,,1,0
8/7/2007,1,0,0,0,0,,1,0
8/10/2007,1,1,0,0,0,,1,0
8/16/2007,1,1,0,0,0,,1,0
9/18/2007,1,0,0,0,0,,1,0
10/31/2007,1,0,1,0,0,,1,0
12/6/2007,1,1,0,0,0,,0,0
12/11/2007,1,0,0,0,0,,1,0
1/9/2008,1,1,0,0,0,,0,0
1/22/2008,1,1,0,0,0,,1,0
1/30/2008,1,0,1,0,0,,1,0
3/10/2008,1,1,0,0,0,,1,0
3/18/2008,1,0,0,0,0,,1,0
4/30/2008,1,0,1,0,0,,1,0
6/25/2008,1,0,1,0,0,,1,0
7/24/2008,1,1,0,0,0,,0,0
8/5/2008,1,0,0,0,0,,1,0
9/16/2008,1,0,0,0,0,,1,0
9/29/2008,1,1,0,0,0,,0,0
10/7/2008,1,1,0,0,0,,1,0
10/29/2008,1,0,1,0,0,,1,0
12/16/2008,1,0,1,0,0,,1,0
1/16/2009,1,1,0,0,0,,0,0
1/28/2009,1,0,1,0,0,,1,0
2/7/2009,1,1,0,0,0,,0,0
3/18/2009,1,0,1,0,0,,1,0
4/29/2009,1,0,1,0,0,,1,0
6/3/2009,1,1,0,0,0,,0,0
6/24/2009,1,0,1,0,0,,1,0
8/12/2009,1,0,1,0,0,,1,0
9/23/2009,1,0,1,0,0,,1,0
11/4/2009,1,0,1,0,0,,1,0
12/16/2009,1,0,1,0,0,,1,0
1/27/2010,1,0,1,0,0,,1,0
3/16/2010,1,0,0,0,0,,1,0
4/28/2010,1,0,1,0,0,,1,0
5/9/2010,1,1,0,0,0,,1,0
6/23/2010,1,0,1,0,0,,1,0
8/10/2010,1,0,0,0,0,,1,0
9/21/2010,1,0,0,0,0,,1,0
10/15/2010,1,1,0,0,0,,0,0
11/3/2010,1,0,1,0,0,,1,0
12/14/2010,1,0,0,0,0,,1,0
1/26/2011,1,0,1,0,0,,1,0
3/15/2011,1,0,0,0,0,,1,0
4/27/2011,1,0,1,0,0,,1,1
6/22/2011,1,0,1,0,0,,1,1
8/1/2011,1,1,0,0,0,,0,0
8/9/2011,1,0,0,0,0,,1,0
9/21/2011,1,0,1,0,0,,1,0
11/2/2011,1,0,1,0,0,,1,1
11/28/2011,1,1,0,0,0,,0,0
12/13/2011,1,0,0,0,0,,1,0
1/25/2012,1,0,1,0,0,,1,1
3/13/2012,1,0,0,0,0,,1,0
4/25/2012,1,0,1,0,0,,1,1
6/20/2012,1,0,1,0,0,,1,1
8/1/2012,1,0,1,0,0,,1,0
9/13/2012,1,0,1,0,0,,1,1
10/24/2012,1,0,1,0,0,,1,0
12/12/2012,1,0,1,0,0,,1,1
1/30/2013,1,0,1,0,0,,1,0
3/20/2013,1,0,1,0,0,,1,1
5/1/2013,1,0,1,0,0,,1,0
6/19/2013,1,0,1,0,0,,1,1
7/31/2013,1,0,1,0,0,,1,0
9/18/2013,1,0,1,0,0,,1,1
10/16/2013,1,1,0,0,0,,0,0
10/30/2013,1,0,1,0,0,,1,0
12/18/2013,1,0,1,0,0,,1,1
1/29/2014,1,0,1,0,0,,1,0
3/4/2014,1,1,0,0,0,,0,0
3/19/2014,1,0,1,0,0,,1,1
4/30/2014,1,0,1,0,0,,1,0
6/18/2014,1,0,1,0,0,,1,1
7/30/2014,1,0,1,0,0,,1,0
9/17/2014,1,0,1,0,0,,1,1
10/29/2014,1,0,1,0,0,,1,0
12/17/2014,1,0,1,0,0,,1,1
